fsq_id,name,latitude,longitude,address,category,date_created,name_clean,suspicious_name,price,rating,total_photos,total_ratings,total_tips,tastes,tips,price_level,neighborhoods
6286825aa6b3ec38077acfcc,Latisha cafe (لاتيشا كافيه),24.830739,46.670845,"AN NARJIS (Anas Bin Malek Street), الرياض 13327",['Coffee Shop'],2019-03-10,latisha cafe (لاتيشا كافيه),False,$,8.8,1255.0,93.0,20.0,,,,Al Narjis Dist.
657aa4975c283176c9a1837d,كبدة وتميسة,24.832457,46.676155,"النرجس (طريق أنس بن مالك), الرياض 13323",['Breakfast Spot'],2023-12-14,كبدة وتميسة,False,$,,0.0,,0.0,,,1.0,Al Narjis Dist.
5ca6f64782a750002c70970c,Saafah,24.831793,46.680398,"طريق عثمان بن عفان, الرياض 13323",['Restaurant'],2019-04-05,saafah,False,Al Sahra’a Al Kubra St.,,14.0,,1.0,,,1.0,Al Narjis Dist.
669977452d7cdb5fe99acdf9,CACTI COFFEE ROASTERS,24.830353,46.671413,"طريق أنس بن مالك, الرياض 13327","['Coffee Roaster', 'Coffee Shop']",2024-07-18,cacti coffee roasters,False,(إنس سلمان بن محمد),7.3,421.0,14.0,2.0,,,1.0,Al Narjis Dist.
646bb6a6be1e250f79179b9b,دوّار السّعادة,24.832494,46.692459,"Faisal Bin Bandar Bin Abdulaziz Road, الرياض 13324",['Breakfast Spot'],2023-05-22,دوّار السّعادة,False,$,9.0,261.0,28.0,4.0,,,1.0,Al Narjis Dist.
5de8a0db4760750008d30a04,Kfnccc.rc Cafeteria,24.829872,46.692978,"Saudi Arabia riyadh (Prince Faisal ben Bander street Alnarjes), الرياض 13324",['Cafeteria'],2019-12-05,kfnccc.rc cafeteria,False,KFSH Children's Cancer Center (Takhasussi St.),,0.0,,3.0,,,2.0,Al Narjis Dist.
4f2e5770e4b0b0d084d0b038,KFNCCC- Cafeteria,24.829896199583924,46.69311364357763,"CCC (Exit 7), الرياض",['Mediterranean Restaurant'],2012-02-05,kfnccc- cafeteria,False,$$,,16.0,,0.0,,,1.0,Al Narjis Dist.
680fd4d1bb958c517a7eb3c3,Sabbh (صَبه),24.832466,46.692439,"An-Narjis (Prince Faisal Bin Bandar Bin Abdulaziz Rd), الرياض 13324","['Breakfast Spot', 'Sandwich Spot']",2025-04-28,sabbh (صَبه),False,$,,27.0,,1.0,,,1.0,Al Narjis Dist.
68b317a8eb9aae2e0690c09b,GOLD FRIES,24.83136738893514,46.69026911217799,"Albahar alahmar st, الرياض","['Food Truck', 'American Restaurant']",2025-08-30,gold fries,False,$,,0.0,,0.0,,,,Al Narjis Dist.
629a2476628db84f2db45797,جورميه,24.832751,46.692226,"النرجس (طريق الامير فيصل بن بندر بن عبدالعزيز), الرياض 13324","['Café', 'Coffee Shop']",2022-06-03,جورميه,False,$,,3.0,,0.0,,,1.0,Al Narjis Dist.
64b2f45c5136a40f01bf81d5,Suave Cafe,24.829362,46.689082,الرياض 13324,"['Coffee Shop', 'Café']",2023-07-15,suave cafe,False,$,,22.0,,0.0,,,,Al Narjis Dist.
6802268e1e56a1579de6b7b2,Najd Roastery,24.829473,46.689034,الرياض,"['Coffee Shop', 'Coffee Roaster']",2025-04-18,najd roastery,False,$,,46.0,,1.0,,,0.0,Al Narjis Dist.
635164a4a7ed795af6a08475,Turkey Leg,24.826406,46.691083,الرياض 13324,['Fast Food Restaurant'],2022-10-20,turkey leg,False,$,,0.0,,0.0,,,1.0,Al Narjis Dist.
6351034f98911525a788cff8,Turkey Leg,24.826104,46.690681,الرياض 13324,['Fast Food Restaurant'],2022-10-20,turkey leg,False,$,,0.0,,0.0,,,1.0,Al Narjis Dist.
57165b48cd1059c70684b023,Koshary (كشري),24.82836226028632,46.688264357194655,الرياض,['Egyptian Restaurant'],2016-04-19,koshary (كشري),False,,,4.0,,0.0,,,0.0,Al Narjis Dist.
525bf3e811d2b9d16b70fef0,Dar Lavender (دار الاڤندر),24.824808640326296,46.709514128441306,,['Dessert Shop'],2013-10-14,dar lavender (دار الاڤندر),False,$,,0.0,,0.0,,,1.0,King Khalid International Airport
616983ad21a00f4f8b52912c,Over Dose,24.828796,46.72681,"بارك افنينو (Thumammah Rd), الرياض 13248",['Coffee Shop'],2021-10-15,over dose,False,$,8.8,1573.0,138.0,22.0,"['cheesecake', 'coffee', 'mojitos']","[{'content': '""... their new cheesecake 🍰and their Arabic coffee was so good too!""(3 Tips)', 'tag': '🍰', 'tag_counts': '(3 Tips)'}]",1.0,Qurtubah Dist.
627e60dc03e634412fb013ff,SUGARHIVE,24.829163,46.726977,"بارك افنيو - طريق سعيد بن زيد, الرياض 13248",['Coffee Shop'],2022-05-13,sugarhive,False,$,8.1,773.0,49.0,7.0,,,2.0,Qurtubah Dist.
61ddc19e5d9eff066e304eae,ON CAFE,24.827652,46.727825,"Riyadh (Thumamah Rd), الرياض 13248","['Coffee Shop', 'Café']",2022-01-11,on cafe,False,$,8.7,2620.0,133.0,24.0,"['friendly staff', 'French toast', 'coffee', 'iced tea', 'flat whites']","[{'content': '""Caffe day French  toast staff so friendly great place ❤️❤️""(3 Tips)', 'tag': 'French  toast', 'tag_counts': '(3 Tips)'}]",2.0,Qurtubah Dist.
622477220f134d7fda770712,BLACK WOLF,24.827656,46.72778,"Riyadh (Thumamah), الرياض 13248",['Coffee Shop'],2022-03-06,black wolf,False,$,8.5,3657.0,153.0,23.0,,,0.0,Qurtubah Dist.
629a4c414586da0c2a58e3be,Liger,24.827457,46.727699,"بارك افنيو, الرياض 13248",['Coffee Shop'],2022-06-03,liger,False,$,8.0,1270.0,45.0,9.0,,,,Qurtubah Dist.
61bb8ea4e8eb76707e7534a4,DOUBLE ONE,24.827485,46.727968,"Saeed Bin Zaid St (Thumamah Rd), الرياض 13248",['Coffee Shop'],2021-12-16,double one,False,$,8.0,868.0,44.0,5.0,"['friendly staff', 'honey cake', 'iced americano', 'mojitos']",,0.0,Qurtubah Dist.
61bf9c81c9ad34745ed0e386,OLÉ اُولِ,24.827025,46.72786,"Riyadh (الثمامة), الرياض 13248",['Breakfast Spot'],2021-12-19,olé اُولِ,False,$,8.2,1058.0,76.0,11.0,,,2.0,Qurtubah Dist.
6218d5cccace1f04f339f1f5,Cake Me Out,24.827998,46.727545,الرياض 13248,['Coffee Shop'],2022-02-25,cake me out,False,$,7.4,724.0,53.0,8.0,,,2.0,Qurtubah Dist.
616987000466837f7a219640,Tim Hortons,24.8274,46.727898,"Saeed Bin Zaid St (Thumammah Rd), الرياض 13248",['Coffee Shop'],2021-10-15,tim hortons,False,$,7.9,368.0,28.0,7.0,,,,Qurtubah Dist.
627e6340c2391d5e9d104977,Cosmo,24.827455,46.727726,"Saeed Bin Zaid St (Thumamah Rd), الرياض 13248",['Coffee Shop'],2022-05-13,cosmo,False,$,7.6,361.0,17.0,2.0,,,2.0,Qurtubah Dist.
629a4e15628db84f2d2b3297,8Portion (إيت بورشنز),24.827479,46.72768,"بارك افنيو, الرياض 13248",['Italian Restaurant'],2022-06-03,8portion (إيت بورشنز),False,$$,7.5,751.0,50.0,12.0,,"[{'content': '""Dolma risotto, truffle pizza are must, the service is...""(2 Tips)', 'tag': 'Dolma risotto', 'tag_counts': '(2 Tips)'}, {'content': '""Truffle pizza is 10/10👌🏻, dolma risotto is 8/10 , the...""(2 Tips)', 'tag': 'Truffle pizza', 'tag_counts': '(2 Tips)'}]",0.0,Qurtubah Dist.
4ed2070de5faa5ec04c4e794,مطعم سمرقندي,24.830781368719705,46.72938636841664,الرياض,"['Middle Eastern Restaurant', 'Afghan Restaurant']",2011-11-27,مطعم سمرقندي,False,$,8.6,246.0,424.0,69.0,"['rice', 'grilled chicken', 'bukhari']","[{'content': '""Amazing Grilled chicken + bukhari rice, hummus is good.""(2 Tips)', 'tag': 'bukhari', 'tag_counts': '(2 Tips)'}, {'content': '""Rice, Grilled Chicken & Hommos""(4 Tips)', 'tag': 'Grilled Chicken', 'tag_counts': '(4 Tips)'}, {'content': '""grilled chicken and the hummus""(2 Tips)', 'tag': 'hummus', 'tag_counts': '(2 Tips)'}, {'content': '""The best oriental rice & chicken in Riyadh.""(5 Tips)', 'tag': 'rice', 'tag_counts': '(5 Tips)'}]",1.0,Qurtubah Dist.
61e2e765c4cf0300393852cf,Slushy’s,24.826818,46.728594,"PARK AVENUE (Al Thoumamah Road), الرياض 13248",['Juice Bar'],2022-01-15,slushy’s,False,$,8.4,69.0,15.0,1.0,,,,Qurtubah Dist.
6206a481668ac13db11c903a,عجينة مريم,24.827164,46.727982,الرياض 13248,['Bakery'],2022-02-11,عجينة مريم,False,$,7.5,569.0,36.0,13.0,,,1.0,Qurtubah Dist.
62ed581cec79086180497a28,FALLA,24.826337,46.728493,الرياض 13248,['American Restaurant'],2021-10-15,falla,False,$$,8.3,624.0,33.0,6.0,,,,Qurtubah Dist.
61bf999f5d212f13974d4285,North Coffee,24.826416,46.728242,"Riyadh (الثمامة), الرياض 13248",['Coffee Shop'],2021-12-19,north coffee,False,$,7.9,359.0,26.0,6.0,,"[{'content': '""Great balcony seating, red north late 9.5/10.""(2 Tips)', 'tag': 'balcony', 'tag_counts': '(2 Tips)'}]",1.0,Qurtubah Dist.
